company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country
Block,SF Bay Area,4000,2/26/2026,0.4,Finance,https://www.cnbc.com/2026/02/26/block-laying-off-about-4000-employees-nearly-half-of-its-workforce.html,Post-IPO,150,United States
eBay,SF Bay Area,800,2/26/2026,0.06,Retail,https://www.cnbc.com/2026/02/26/ebay-layoffs-800-workforce.html,Post-IPO,1200,Israel
C3.ai,SF Bay Area,280,2/25/2026,0.26,AI,https://www.morningstar.com/stocks/xnys/ai/earnings-transcript,Series F,228,United States
WiseTech,"Sydney, Non-U.S.",2000,2/24/2026,0.3,Logistics,https://www.bloomberg.com/news/articles/2026-02-24/wisetech-to-cut-2-000-jobs-as-ai-ends-era-of-manual-coding,Post-IPO,3000,Australia
TrueCar,Los Angeles,100,2/24/2026,0.3,Transportation,https://aimgroup.com/2026/02/24/truecar-cuts-30-of-staff/,Post-IPO,340,United States
DraftKings,Boston,,2/24/2026,,Consumer,https://next.io/news/people/draftkings-reduces-workforce-company-embraces-ai/,Post-IPO,719,United States
Livspace,"Bengaluru, Non-U.S.",1000,2/20/2026,0.12,Consumer,https://inc42.com/buzz/livspace-fires-1000-employees-cofounder-quits/,Series F,482,India
Lucid Motors,SF Bay Area,,2/20/2026,0.12,Transportation,https://techcrunch.com/2026/02/20/lucid-motors-slashes-12-of-its-workforce-as-it-seeks-profitability/,Post-IPO,8300,United States
Cyberark,Boston,500,2/17/2026,0.12,Security,https://www.calcalistech.com/ctechnews/article/hy707511ube,Acquired,1700,United States
Huawei,"Tel Aviv, Non-U.S.",50,2/15/2026,,Hardware,https://www.calcalistech.com/ctechnews/article/bkmmdojuwx,Unknown,,Israel
Axonius,New York City,40,2/15/2026,0.04,Security,https://www.calcalistech.com/ctechnews/article/s1xchi1oze,Series E,865,United States
Clari,SF Bay Area,76,02-12-2026,,Sales,https://www.bizjournals.com/sanjose/news/2026/02/12/clari-salesloft-merger-ai-investments-layoffs.html,Acquired,496,United States
Glossier,New York City,50,02-11-2026,0.33,Retail,https://www.businessoffashion.com/news/cosmetics/glossier-layoffs-2026/,Series E,266,United States
Dayforce,"Toronto, Non-U.S.",,02-11-2026,0.05,HR,Internal memo,Post-IPO,40,Canada
Salesforce,SF Bay Area,,02-09-2026,,Sales,https://www.businessinsider.com/salesforce-cuts-jobs-executive-changes-2026-2,Post-IPO,65,United States
Workday,SF Bay Area,400,02-04-2026,0.02,HR,https://www.bloomberg.com/news/articles/2026-02-04/workday-to-cut-about-400-employees-focused-on-customer-support,Post-IPO,230,United States
Rewire,"Tel Aviv, Non-U.S.",110,02-04-2026,,Finance,https://www.calcalistech.com/ctechnews/article/bkxy2fwv11g,Acquired,57,Israel
Smartsheet,Seattle,,02-04-2026,,Other,https://www.geekwire.com/2026/smartsheet-layoffs-enterprise-software-giant-cuts-staff/,Post-IPO,152,United States
Zillow,Seattle,200,02-02-2026,,Real Estate,https://www.seattletimes.com/business/real-estate/seattle-based-zillow-lays-off-200-employees/,Post-IPO,97,United States
Zipcar,Boston,126,02-02-2026,,Transportation,https://www.boston.com/news/business/2026/02/02/zipcar-to-close-seaport-headquarters-cut-more-than-100-jobs/,Acquired,107,United States
Expedia,Seattle,100,02-01-2026,,Travel,https://finance.yahoo.com/news/expedia-cut-100-jobs-austin-161917994.html?guccounter=1,Post-IPO,3300,United States
Zupee,"New Delhi, Non-U.S.",200,1/30/2026,,Consumer,https://yourstory.com/2026/01/zupee-cuts-about-200-jobs-in-second-layoff-after-money-gaming-ban,Series B,121,India
Peloton,New York City,,1/30/2026,0.11,Fitness,https://www.reuters.com/business/peloton-cuts-11-staff-including-engineering-teams-bloomberg-news-reports-2026-01-30/,Post-IPO,1900,United States
Kiwi.com,"Brno, Non-U.S.",250,1/29/2026,0.36,Travel,https://forbes.cz/kiwi-pokracuje-v-propousteni-odchazi-tretina-zamestnancu/,Unknown,107,Czech Republic
Gloo,Boulder,,1/29/2026,,Consumer,https://www.bizjournals.com/denver/news/2026/01/29/ai-company-cuts-staff-reduces-executive-salaries.html,Post-IPO,152,United States
Amazon,Seattle,16000,1/28/2026,,Retail,https://www.aboutamazon.com/news/company-news/amazon-layoffs-corporate-jan-2026,Post-IPO,8100,United States
ASML,"Veldhoven, Non-U.S.",1700,1/28/2026,,Hardware,https://www.asml.com/en/news/press-releases/2026/strengthening-focus-on-engineering-and-innovation,Post-IPO,,Netherlands
Pinterest,SF Bay Area,700,1/27/2026,0.15,Consumer,https://www.theverge.com/news/868531/pinterest-layoffs-cuts-15-percent-ai-transformation,Post-IPO,1500,United States
Expedia,Seattle,,1/26/2026,,Travel,https://www.bizjournals.com/seattle/news/2026/01/26/expedia-layoffs-tech-team-interbay-travel.html,Post-IPO,3300,United States
Entropy,New York City,,1/25/2026,1,Crypto,https://www.theblock.co/post/386942/entropy-a16z-backed-decentralized-custody-startup-is-winding-down-and-returning-capital-to-investors,Seed,27,United States
Autodesk,SF Bay Area,1000,1/22/2026,0.07,Other,https://www.reuters.com/business/world-at-work/autodesk-lay-off-about-7-workforce-2026-01-22/,Post-IPO,,United States
Shopify,"Ottawa, Non-U.S.",,1/22/2026,,Retail,https://betakit.com/shopify-makes-more-job-cuts-this-time-targeting-partnerships-division/,Post-IPO,122,Canada
Vimeo,New York City,,1/21/2026,,Consumer,https://www.businessinsider.com/vimeo-laying-off-staff-after-billion-sale-to-bending-spoons-2026-1,Post-IPO,450,United States
Polygon,"Cayman Islands, Non-U.S.",60,1/16/2026,,Crypto,https://www.coindesk.com/business/2026/01/16/polygon-labs-said-to-have-laid-off-60-staff-following-new-usd250-million-acquisition,Unknown,451,Cayman Islands
Ericsson,"Stockholm, Non-U.S.",1600,1/15/2026,,Other,https://www.reuters.com/business/world-at-work/ericsson-shed-1600-jobs-sweden-2026-01-15/,Post-IPO,663,Sweden
Tipalti,SF Bay Area,100,1/15/2026,,Finance,https://en.globes.co.il/en/article-tipalti-laying-off-dozens-of-employees-1001532153,Series F,565,United States
Playtika,"Tel Aviv, Non-U.S.",500,1/14/2026,0.15,Consumer,https://www.calcalistech.com/ctechnews/article/bkl6xzhswe,Post-IPO,,Israel
Aleph Alpha,"Frankfurt, Non-U.S.",50,1/14/2026,0.16,AI,https://www.startbase.com/news/aleph-alpha-baut-rund-50-stellen-ab/,Series B,534,Germany
Meta,SF Bay Area,1500,1/13/2026,0.02,Consumer,https://www.nytimes.com/2026/01/12/technology/meta-layoffs-reality-labs.html?unlocked_article_code=1.D1A.ckee.3ANQhKMxi5Ld&smid=url-share,Post-IPO,26000,United States
eToro,"Tel Aviv, Non-U.S.",105,1/13/2026,0.07,Finance,https://www.calcalistech.com/ctechnews/article/sjedi1vh11x,Unknown,322,Israel
StoreDot,"Tel Aviv, Non-U.S.",,1/13/2026,,Other,https://www.calcalistech.com/ctechnews/article/sjkqkmeb11x,Series D,184,Israel
MercadoLibre,"Buenos Aires, Non-U.S.",116,01-12-2026,,Retail,https://eleconomista.com.ar/economia/despidos-mercado-libre-entrenamos-ia-nos-reemplazo-n91871,Post-IPO,5100,Brazil
FormFactor,SF Bay Area,220,01-09-2026,0.11,Manufacturing,https://www.latimes.com/business/story/2026-01-09/bay-area-semiconductor-testing-company-to-lay-off-more-than-200-workers,Post-IPO,15,United States
Kaseya,Miami,250,01-08-2026,0.05,Security,https://www.crn.com/news/channel-news/2026/kaseya-lays-off-5-percent-of-workforce-to-align-our-go-to-market-teams?itc=refresh,Private Equity,547,United States
Hailo,"Tel Aviv, Non-U.S.",30,01-08-2026,0.1,Manufacturing,https://www.calcalistech.com/ctechnews/article/hyzk11etvwx,Series C,344,Israel
Foretellix,"Tel Aviv, Non-U.S.",29,01-08-2026,0.18,Transportation,https://www.calcalistech.com/ctechnews/article/hjjj7b6vzx,Series C,132,Israel
Tailwind Labs,Oklahoma City,3,01-08-2026,,Product,https://www.businessinsider.com/tailwind-engineer-layoffs-ai-github-2026-1,Unknown,,United States
Angi,Indianapolis,350,01-07-2026,,Consumer,https://ir.angi.com/node/12951/html,Post-IPO,180,United States
Multiverse,"London, Non-U.S.",55,01-05-2026,,Education,https://sifted.eu/articles/multiverse-job-cuts-euan-blair,Series D,414,United Kingdom
Sapiens,"Tel Aviv, Non-U.S.",700,12/28/2025,0.15,Finance,https://www.calcalistech.com/ctechnews/article/r1oyau0mzl,Acquired,88,Israel
Yellow.ai,SF Bay Area,100,12/23/2025,0.3,Support,https://inc42.com/buzz/exclusive-yellow-ai-lays-off-over-100-employees-amid-automation-push/,Series C,102,United States
The Trade Desk,Los Angeles,,12/17/2025,,Marketing,https://www.adexchanger.com/platforms/the-trade-desk-lays-off-staff-one-year-after-its-last-major-reorg/,Post-IPO,257,United States
Amazon,Seattle,84,12/15/2025,,Retail,https://www.bizjournals.com/seattle/news/2025/12/15/amazon-layoffs-84-february.html,Post-IPO,8100,United States
PowerSchool,Sacramento,,12-12-2025,,Education,https://www.bizjournals.com/sacramento/news/2025/12/12/powerschool-restructuring-layoffs.html,Acquired,31,United States
Zebra Technologies,Chicago,,12-12-2025,,Manufacturing,https://www.therobotreport.com/zebra-technologies-winding-down-fetch-based-mobile-robot-group/,Post-IPO,2000,United States
Believer Meats,"Jerusalem, Non-U.S.",,12-11-2025,,Food,https://www.calcalistech.com/ctechnews/article/bknaajdzbe,Series B,389,Israel
EyeEm,"Berlin, Non-U.S.",,12-11-2025,1,Other,https://petapixel.com/2025/12/11/eyeem-is-shutting-down/,Acquired,24,Germany
Lusha,Boston,24,12-10-2025,0.08,Sales,https://www.calcalistech.com/ctechnews/article/sybqqlwm11g,Series B,245,United States
Tenstorrent,"Toronto, Non-U.S.",80,12-09-2025,0.07,Hardware,https://www.eetimes.com/layoffs-at-tenstorrent-as-startup-pivots-towards-developer-sales/,Series D,1000,Canada
Whatfix,"Bengaluru, Non-U.S.",60,12-09-2025,0.06,AI,https://inc42.com/buzz/softbank-backed-whatfix-fires-60-employees/,Series E,265,India
VSCO,SF Bay Area,24,12-09-2025,,Consumer,https://techcrunch.com/2025/12/09/vsco-lays-off-24-staff-as-its-consumer-business-suffers/,Series B,90,United States
GenWise,"New Delhi, Non-U.S.",,12-09-2025,1,Other,https://inc42.com/buzz/exclusive-kunal-shah-backed-genwise-shuts-down-operations/,Seed,3,India
Mobileye,"Jerusalem, Non-U.S.",200,12-08-2025,0.04,Transportation,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,Post-IPO,2100,Israel
Payoneer,New York City,60,12-08-2025,0.06,Finance,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,Post-IPO,,United States
Teads,New York City,180,12-04-2025,0.1,Marketing,https://www.calcalistech.com/ctechnews/article/skb9q0lgwl,Unknown,123,United States
Cellebrite,"Tel Aviv, Non-U.S.",20,12-03-2025,0.01,Other,https://www.calcalistech.com/ctechnews/article/izmghyvm1,Post-IPO,410,Israel
Modern Hydrogen,Seattle,,12-03-2025,,Energy,https://fuelcellsworks.com/2025/12/03/green-investment/bill-gates-backed-modern-hydrogen-lays-off-most-of-its-employees-after-decade-long-pursuit-of-clean-energy,Series B,99,United States
Aqua Security,"Tel Aviv, Non-U.S.",20,12-01-2025,,Security,https://www.calcalistech.com/ctechnews/article/4bzp62ggf,Series E,325,United States
Inbound Health,Minneapolis,,12-01-2025,1,Healthcare,https://www.axios.com/pro/health-tech-deals/2025/12/01/inbound-health-closing-home-care-waiver,Series B,50,United States
Junglee Games,"New Delhi, Non-U.S.",350,11/26/2025,,Consumer,https://inc42.com/buzz/junglee-games-parent-flutter-sheds-350-jobs-in-post-rmg-ban-recast/,Seed,3,India
Shopify,"Ottawa, Non-U.S.",,11/26/2025,,Retail,https://www.thecanadianpressnews.ca/business/shopify-lays-off-staff-to-keep-team-fast-sharp-and-focused/article_2b3b4e8c-4531-5e36-a0ad-b02a9f8e6b6a.html,Post-IPO,122,Canada
HP,SF Bay Area,4000,11/25/2025,,Hardware,https://www.wsj.com/tech/hp-to-cut-up-to-10-of-workforce-as-part-of-ai-push-a2c198da?mod=hp_lead_pos4,Post-IPO,,United States
ezCater,Boston,40,11/21/2025,0.04,Food,https://www.bizjournals.com/boston/news/2025/11/21/ezcater-tech-layoffs.html,Series D,319,United States
Monarch Tractor,SF Bay Area,102,11/19/2025,,Other,https://techcrunch.com/2025/11/19/monarch-tractor-preps-for-layoffs-and-warns-employees-it-may-shut-down/,Unknown,214,United States
Pleo,"Copenhagen, Non-U.S.",100,11/19/2025,0.12,Finance,https://tech.eu/2025/11/19/expense-management-firm-pleo-hit-by-layoffs/,Series C,428,Denmark
UKG,"Montevideo, Non-U.S.",300,11/18/2025,,HR,https://www.elobservador.com.uy/cafe-y-negocios/la-multinacional-ukg-cierra-sus-operaciones-uruguay-y-despide-300-profesionales-n6025098,Unknown,,Uruguay
Culture Amp,"Melbourne, Non-U.S.",60,11/18/2025,0.06,HR,https://www.capitalbrief.com/article/culture-amp-lays-off-6-of-its-staff-globally-as-it-focuses-on-new-ai-products-3d5073ac-879a-4e01-9a08-a513ead8834b/,Series F,257,Australia
Veson Nautical,Boston,,11/18/2025,0.2,Other,https://www.tradewindsnews.com/technology/veson-nautical-acknowledges-staff-cuts-after-growth-spurt/2-1-1902984,Private Equity,,United States
Playtika,"Tel Aviv, Non-U.S.",700,11/17/2025,0.2,Consumer,https://www.calcalistech.com/ctechnews/article/h1y4ejyg11g,Post-IPO,,Israel
Pipe,SF Bay Area,200,11/16/2025,0.5,Finance,https://fintechbusinessweekly.substack.com/p/celtic-bank-faces-another-lawsuit,Series D,453,United States
Flipkart,"Bengaluru, Non-U.S.",40,11/16/2025,,Retail,https://www.calcalistech.com/ctechnews/article/sk7ktewxwg,Acquired,12900,India
BharatAgri,"Mumbai, Non-U.S.",37,11/13/2025,1,Food,https://inc42.com/buzz/agritech-startup-bharatagri-shuts-operations-due-to-funding-crunch/,Series A,21,India
AI Fleet,Austin,,11/13/2025,,Transportation,https://www.bizjournals.com/austin/news/2025/11/13/layoffs-hit-at-austin-ai-startup.html,Series B,56,United States
Synopsys,SF Bay Area,2000,11-12-2025,0.1,Other,https://www.reuters.com/business/world-at-work/synopsys-cut-about-10-its-workforce-2025-11-12/,Post-IPO,,United States
Deepwatch,Tampa Bay,80,11-12-2025,0.32,Security,https://techcrunch.com/2025/11/12/cybersecurity-firm-deepwatch-lays-off-dozens-citing-move-to-accelerate-ai-investment/,Series C,256,United States
GamesKraft,"Bengaluru, Non-U.S.",280,11-10-2025,,Consumer,https://inc42.com/buzz/real-money-gaming-ban-gameskrafts-layoff-count-climbs-to-400/,Unknown,,India
Sonder,SF Bay Area,,11-10-2025,1,Travel,https://skift.com/2025/11/10/sonder-shuts-down-after-marriott-termination-marking-the-end-of-a-hospitality-experiment/,Post-IPO,839,United States
Axonius,New York City,100,11-06-2025,0.11,Security,https://www.calcalistech.com/ctechnews/article/sj0syry1wg,Series E,865,United States
MyBambu,Memphis,141,11-05-2025,1,Finance,https://cbs12.com/news/local/new-west-palm-beach-fintech-firm-to-lay-off-141-employees-amid-funding-collapse-layoff-south-florida-palm-beach-county-downtown-west-palm-beach-news-mybambu-a-fintech-startup-2751-s-dixie-hwy-420-november-5-2025,Unknown,15,United States
Hewlett Packard Enterprise,SF Bay Area,52,11-05-2025,,Hardware,https://www.sfchronicle.com/tech/article/layoffs-hpe-hitachi-vantara-21140900.php,Post-IPO,1400,United States
Indeed,Austin,,11-05-2025,,HR,https://www.businessinsider.com/indeed-layoffs-job-cuts-after-summer-reorg-2025-11,Acquired,5,United States
TripAdvisor,Boston,,11-05-2025,0.2,Travel,https://skift.com/2025/11/05/layoffs-hit-20-of-tripadvisor-viator-and-administrative-staff-scoop/,Post-IPO,3,United States
Porter,"Bengaluru, Non-U.S.",350,11-04-2025,0.18,Logistics,https://inc42.com/buzz/exclusive-porter-lays-off-over-350-employees/,Series F,357,India
Personio,"Munich, Non-U.S.",165,10/29/2025,0.1,HR,Internal memo,Series E,724,Germany
Amazon,Seattle,14000,10/27/2025,0.01,Retail,https://www.cnbc.com/2025/10/28/amazon-layoffs-corporate-workers-ai.html,Post-IPO,8100,United States
Chegg,SF Bay Area,388,10/27/2025,0.45,Education,https://www.reuters.com/sustainability/boards-policy-regulation/hit-by-ai-edtech-firm-chegg-slashes-jobs-names-new-ceo-major-overhaul-2025-10-27/,Post-IPO,227,United States
Lightricks,"Jerusalem, Non-U.S.",85,10/27/2025,0.15,Consumer,https://www.calcalistech.com/ctechnews/article/byvtpanceg,Series D,335,Israel
Medtronic,"Jerusalem, Non-U.S.",60,10/27/2025,,Healthcare,https://www.calcalistech.com/ctechnews/article/s1g3z02cgg,Post-IPO,5900,United States
Hootsuite,"Vancouver, Non-U.S.",,10/27/2025,0.2,Marketing,https://www.biv.com/news/technology/hootsuite-laying-off-hundreds-of-staff-20-of-workforce-11405954,Series C,300,Canada
Robin AI,"London, Non-U.S.",,10/24/2025,0.33,Legal,https://sifted.eu/articles/robin-ai-cuts-a-third-of-staff,Series B,68,United Kingdom
Applied Material,SF Bay Area,1400,10/23/2025,0.04,Manufacturing,https://www.bloomberg.com/news/articles/2025-10-23/applied-materials-to-cut-4-of-global-staff-after-sales-slow,Post-IPO,2100,United States
Rivian,Los Angeles,600,10/23/2025,0.04,Transportation,https://www.reuters.com/business/autos-transportation/rivian-lay-off-more-than-600-workers-amid-ev-pullback-wsj-reports-2025-10-23/,Post-IPO,10700,United States
Kaseya,Miami,200,10/23/2025,,Security,https://www.crn.com/news/channel-news/2026/kaseya-lays-off-5-percent-of-workforce-to-align-our-go-to-market-teams?itc=refresh,Private Equity,547,United States
Altruist,SF Bay Area,50,10/23/2025,0.15,Finance,https://www.investmentnews.com/ria-news/altruist-lays-off-50-employees-but-ceo-says-profitability-is-in-sight/262681,Series E,449,United States
Meta,SF Bay Area,600,10/22/2025,,Consumer,https://www.cnbc.com/2025/10/22/meta-layoffs-ai.html,Post-IPO,26000,United States
Ludeo,Los Angeles,25,10/20/2025,0.5,Consumer,https://www.calcalistech.com/ctechnews/article/bjukuox0xe,Series A,42,United States
Zepto,"Mumbai, Non-U.S.",300,10/18/2025,0.05,Retail,https://www.moneycontrol.com/news/business/startup/around-300-employees-impacted-at-zepto-amid-cost-efficiency-drive-at-the-quick-commerce-company-13622853.html,Series H,2600,India
Broadcom,SF Bay Area,247,10/17/2025,,Hardware,https://www.businessinsider.com/broadcom-layoffs-rifs-cuts-sales-staff-ai-expansion-2025-10,Post-IPO,,United States
Tia,New York City,,10/17/2025,0.23,Healthcare,https://www.businessinsider.com/womens-health-startup-tia-cut-23-of-workforce-layoff-2025-10,Series B,133,United States
Bill.com,SF Bay Area,,10/15/2025,0.06,Finance,https://www.bill.com/blog/a-message-to-bill-employees,Post-IPO,280,United States
OfferUp,Seattle,,10/15/2025,,Retail,https://www.geekwire.com/2025/offerup-hit-with-new-round-of-layoffs-as-marketplace-plans-to-simplify-its-offerings/,Unknown,381,United States
Handshake,SF Bay Area,100,10/14/2025,0.15,Recruiting,https://www.upstartsmedia.com/p/handshake-refounding-layoff-ai,Series F,434,United States
Smartsheet,Seattle,120,10-02-2025,,Other,https://www.geekwire.com/2025/smartsheet-cuts-jobs-shortly-after-departure-of-longtime-ceo/,Post-IPO,152,United States
Google,SF Bay Area,50,10-02-2025,,Consumer,https://www.sfchronicle.com/tech/article/google-bay-area-layoffs-21081705.php,Post-IPO,26,United States
Paycom,Oklahoma City,500,10-01-2025,,HR,https://www.oklahoman.com/story/business/information-technology/2025/10/01/paycom-layoffs-2025-workers-replaced-with-ai/86448337007/,Post-IPO,,United States
Google,SF Bay Area,100,10-01-2025,,Consumer,https://www.cnbc.com/2025/10/01/google-cloud-unit-layoffs.html,Post-IPO,26,United States
Simpl,"Bengaluru, Non-U.S.",80,10-01-2025,,Finance,https://inc42.com/buzz/bnpl-startup-simpl-lays-off-80-employees-after-rbi-whiplash/,Series B,72,India
Just Eat,"Amsterdam, Non-U.S.",450,9/25/2025,0.05,Food,https://www.reuters.com/business/world-at-work/just-eat-lay-off-around-450-employees-partly-automating-operations-2025-09-25/,Acquired,129,Netherlands
GamesKraft,"Bengaluru, Non-U.S.",120,9/18/2025,,Consumer,https://inc42.com/buzz/now-gameskraft-lays-off-120-employees/,Unknown,,India
ZipRecruiter,"Tel Aviv, Non-U.S.",80,9/16/2025,,Recruiting,https://www.calcalistech.com/ctechnews/article/pwjukv20s,Post-IPO,769,United States
Fiverr,"Tel Aviv, Non-U.S.",250,9/15/2025,0.3,Other,https://www.wsj.com/business/fiverr-to-cut-about-250-jobs-in-refocusing-effort-reiterates-guidance-8f15ee4b,Post-IPO,111,Israel
Sorbet,"Tel Aviv, Non-U.S.",,9/14/2025,,Finance,https://www.calcalistech.com/ctechnews/article/syhzsenjxl,Series A,58,Israel
Hike,"New Delhi, Non-U.S.",,9/13/2025,1,Consumer,https://techcrunch.com/2025/09/13/hike-once-a-unicorn-shuts-down-as-india-cracks-down-on-real-money-gaming/,Unknown,261,India
xAI,SF Bay Area,500,09-12-2025,,AI,https://www.businessinsider.com/elon-musk-xai-layoffs-data-annotators-2025-9,Unknown,22700,United States
Zupee,"New Delhi, Non-U.S.",170,09-11-2025,0.3,Consumer,https://yourstory.com/2025/09/zupee-employees-real-money-gaming-ban-layoffs,Series B,121,India
Atlassian,"Sydney, Non-U.S.",200,09-10-2025,,Other,https://www.ziptone.nl/en/nieuws/atlassian-schrapt-200-customerservicebanen-in-nederland-en-frankrijk/,Post-IPO,210,Australia
Verbit,New York City,22,09-10-2025,,Data,https://www.calcalistech.com/ctechnews/article/r19t0xjixg,Series E,569,United States
Microsoft,Seattle,42,09-08-2025,,Other,https://www.bizjournals.com/seattle/news/2025/09/08/microsoft-lays-off-dozens-more-employees-in-wa.html,Post-IPO,1,United States
Rivian,Los Angeles,200,09-05-2025,0.01,Transportation,https://www.latimes.com/business/story/2025-09-08/rivian-lays-off-employees-new-suv-tax-credits,Post-IPO,10700,United States
Scope3,New York City,,09-05-2025,,Energy,https://www.adweek.com/media/scope3-lays-off-sales-staff-ai-agentic-advertising-restructuring/,Series B,45,United States
Head Digital Works,"Hyderabad, Non-U.S.",500,09-04-2025,,Consumer,https://entrackr.com/news/a23-parent-lays-off-500-employees-following-rmg-ban-report-9901016,Private Equity,74,India
Salesforce,SF Bay Area,262,09-04-2025,,Sales,https://www.kron4.com/news/bay-area/salesforce-laying-off-262-employees-in-san-francisco-after-ceo-praises-ai/,Post-IPO,65,United States
Oracle,SF Bay Area,254,09-04-2025,,Other,https://www.kron4.com/news/technology-ai/oracle-bay-area-layoffs/,Post-IPO,,United States
GupShup,SF Bay Area,100,09-04-2025,,Other,https://inc42.com/buzz/exclusive-gupshup-lays-off-100-employees-in-cost-cutting-exercise/,Series F,484,India
Bobble AI,"New Delhi, Non-U.S.",50,09-04-2025,,Consumer,https://entrackr.com/exclusive/exclusive-bobble-ai-lays-off-50-employees-amid-organizational-redesign-9888363,Unknown,59,India
Oracle,Seattle,101,09-03-2025,,Other,https://www.seattletimes.com/business/cloud-computing-giant-oracle-lays-off-more-seattle-workers/,Post-IPO,,United States
Salesforce,Seattle,93,09-03-2025,,Sales,https://www.seattletimes.com/business/seattle-area-tech-layoffs-mount-with-salesforce-and-oracle-job-cuts/,Post-IPO,65,United States
Salesforce,"Dublin, Non-U.S.",30,09-03-2025,,Sales,https://www.thejournal.ie/salesforce-ireland-redundancies-6806486-Sep2025/,Post-IPO,65,United States
The Gist,"Tel Aviv, Non-U.S.",,09-03-2025,1,Other,https://www.calcalistech.com/ctechnews/article/jeyngl375,Seed,7,Israel
theGist,"Tel Aviv, Non-U.S.",,09-03-2025,1,Other,https://www.calcalistech.com/ctechnews/article/jeyngl375,Seed,7,Israel
Vimeo,New York City,,09-03-2025,0.1,Consumer,https://www.linkedin.com/posts/phmoyer_today-we-announced-that-we-will-be-reducing-activity-7369003115422851074-qHt-/,Post-IPO,450,United States
Oracle,Kansas City,,09-02-2025,,Other,https://www.kmbc.com/article/oracle-layoffs-kansas-city-cerner-employees/65961940,Post-IPO,,United States
Games 24x7,"Mumbai, Non-U.S.",400,09-01-2025,,Consumer,https://www.peoplematters.in/news/strategic-hr/after-mpl-games24x7-lays-off-400-employees-govt-steps-in-43232,Unknown,75,India
Mobile Premier League,"Bengaluru, Non-U.S.",300,09-01-2025,,Consumer,https://timesofindia.indiatimes.com/technology/tech-news/online-gaming-app-ban-mpl-to-layoff-60-of-india-staff/articleshow/123618820.cms,Series E,375,India
Krutrim,"Bengaluru, Non-U.S.",50,09-01-2025,,AI,https://www.techinasia.com/news/olas-krutrim-cuts-nearly-50-linguistics-staff-in-third-layoff,Unknown,304,India
Salesforce,SF Bay Area,4000,8/31/2025,,Sales,https://www.businessinsider.com/marc-benioff-says-salesforce-cut-4000-roles-because-of-agents-2025-9,Post-IPO,65,United States
Flip,SF Bay Area,,8/29/2025,1,Consumer,https://www.sfgate.com/tech/article/flip-startup-shuts-down-billion-21022297.php,Series C,294,United States
Rec Room,Seattle,141,8/27/2025,,Consumer,https://www.geekwire.com/2025/filing-rec-room-layoffs-impact-141-employees-at-seattle-gaming-startup/,Series F,294,United States
Verily,SF Bay Area,,8/26/2025,,Healthcare,https://www.businessinsider.com/alphabets-verily-lays-off-staff-cuts-its-devices-program-2025-8,Subsidiary,3500,United States
Klaviyo,Boston,,8/25/2025,,Marketing,https://www.theinformation.com/briefings/klaviyo-restructures-r-d-teams-emphasizes-ai-technical-skills,Unknown,778,United States
BeepKart,"Bengaluru, Non-U.S.",150,8/23/2025,1,Retail,https://inc42.com/buzz/exclusive-stellaris-backed-beepkart-shuts-down/,Series A,19,India
TikTok,"London, Non-U.S.",,8/22/2025,,Consumer,https://www.wsj.com/tech/tiktok-to-lay-off-hundreds-of-u-k-content-moderators-in-ai-push-d040ae21,Acquired,,United Kingdom
Cisco,SF Bay Area,221,8/19/2025,,Infrastructure,https://www.sfchronicle.com/tech/article/cisco-oracle-layoffs-bay-area-20824135.php,Post-IPO,2,United States
Oracle,SF Bay Area,101,8/19/2025,,Other,https://www.sfchronicle.com/tech/article/cisco-oracle-layoffs-bay-area-20824135.php,Post-IPO,,United States
Kyte,SF Bay Area,,8/15/2025,1,Transportation,https://techcrunch.com/2025/08/15/kyte-which-billed-itself-as-the-best-competitor-to-hertz-shuts-down/,Unknown,548,United States
Restaurant365,Los Angeles,100,8/14/2025,0.09,Food,https://www.restaurantbusinessonline.com/technology/tech-supplier-restaurant365-lays-9-staff,Series C,127,United States
Oracle,SF Bay Area,289,8/13/2025,,Other,https://www.pleasantonweekly.com/business/2025/08/19/dozens-of-pleasanton-workers-hit-by-wave-of-oracle-layoffs/,Post-IPO,,United States
Oracle,SF Bay Area,188,8/13/2025,,Other,https://www.sfchronicle.com/tech/article/oracle-tech-layoffs-20818166.php,Post-IPO,,United States
Oracle,Seattle,161,8/13/2025,,Other,https://www.geekwire.com/2025/oracle-lays-off-161-employees-in-seattle-as-part-of-broader-reported-cuts-impacting-cloud-business/,Post-IPO,,United States
F5,Seattle,106,8/13/2025,0.02,Security,https://www.geekwire.com/2024/f5-confirms-new-round-of-job-cuts-continuing-annual-pattern-of-workforce-reductions/,Post-IPO,,United States
Micron,Boise,300,08-12-2025,,Hardware,https://www.scmp.com/tech/big-tech/article/3321613/micron-starts-lay-offs-china-us-memory-chipmaker-retreats-mobile-nand-market,Post-IPO,50,United States
BenchSci,"Toronto, Non-U.S.",83,08-12-2025,0.23,Healthcare,https://www.theglobeandmail.com/business/article-benchsci-job-cuts-replace-humans-with-ai/?intcmp=gift_share,Series D,164,Canada
Amdocs,St. Louis,,08-12-2025,,Support,https://www.calcalistech.com/ctechnews/article/legpd5dv7,Post-IPO,,United States
